Country,2019,2018,2017,2016,2015
Morocco,2.6 [1.6-4.1],2.7 [1.7-4.1],2.8 [1.8-4.1],2.9 [1.9-4.1],3.0 [2.1-4.2]
Mozambique,15.3 [9.3-24.6],15.7 [9.9-24.6],16.2 [10.5-24.8],16.7 [11.2-25.0],17.2 [11.9-25.2]
Myanmar,4.7 [2.3-7.8],5.0 [2.6-7.9],5.2 [2.9-8.0],5.6 [3.4-8.2],6.0 [3.9-8.5]
Namibia,11.1 [7.0-17.9],11.4 [7.4-17.9],11.7 [7.8-17.9],12.1 [8.3-17.9],12.3 [8.8-17.7]
Nauru,6.2 [4.9-8.0],6.4 [5.0-8.2],6.6 [5.1-8.4],6.7 [5.2-8.6],6.9 [5.4-8.8]
Nepal,5.3 [3.5-9.8],5.4 [3.8-9.7],5.6 [4.0-9.6],5.8 [4.2-9.4],8.8 [6.7-13.7]
Netherlands,0.7 [0.7-0.7],0.7 [0.7-0.8],0.7 [0.7-0.8],0.8 [0.7-0.8],0.8 [0.8-0.8]
New Zealand,1.0 [0.8-1.1],1.0 [0.8-1.1],1.0 [0.9-1.1],1.0 [0.9-1.2],1.1 [1.0-1.2]
Nicaragua,3.3 [1.7-6.4],3.4 [1.8-6.5],3.5 [1.9-6.5],3.6 [2.0-6.5],3.8 [2.2-6.5]
Niger,30.3 [19.8-46.3],31.2 [20.9-46.5],32.1 [22.2-46.4],33.0 [23.3-46.3],34.0 [24.5-46.6]
Nigeria,21.3 [17.3-26.7],21.7 [17.9-26.8],22.2 [18.4-26.9],22.6 [19.0-27.0],23.0 [19.5-27.1]
Niue,5.0 [3.9-6.4],5.1 [4.0-6.5],5.2 [4.1-6.7],5.4 [4.2-6.9],5.5 [4.3-7.1]
Norway,0.7 [0.6-0.7],0.7 [0.6-0.8],0.7 [0.7-0.8],0.7 [0.7-0.8],0.8 [0.7-0.8]
occupied Palestinian territory, 3.1 [1.2-8.3],3.2 [1.3-8.5],3.3 [1.3-8.5],3.4 [1.4-8.6],3.4 [1.5-8.6]
Oman,2.5 [2.0-3.2],2.5 [2.0-3.2],2.5 [2.0-3.2],2.5 [2.0-3.2],2.5 [2.0-3.2]
Pakistan,8.4 [4.6-15.2],8.6 [5.0-14.7],8.8 [5.5-14.3],9.0 [6.0-13.8],9.2 [6.7-13.4]
Palau,4.0 [3.1-5.1],4.1 [3.2-5.2],4.2 [3.2-5.3],4.3 [3.3-5.5],4.4 [3.4-5.6]
Panama,3.0 [2.8-3.2],3.1 [2.9-3.2],3.2 [3.0-3.3],3.3 [3.1-3.4],3.4 [3.2-3.5]
Papua New Guinea,8.4 [6.6-10.7],8.6 [6.8-11.0],8.8 [6.9-11.3],9.0 [7.1-11.5],9.2 [7.2-11.8]
Paraguay,2.8 [1.5-5.0],2.9 [1.6-5.1],3.0 [1.7-5.1],3.1 [1.8-5.1],3.2 [1.9-5.2]
Peru,2.8 [2.0-4.1],2.9 [2.2-4.1],3.0 [2.3-4.1],3.1 [2.4-4.2],3.2 [2.6-4.2]
Philippines,4.0 [3.7-4.4],4.1 [3.9-4.4],4.2 [4.0-4.4],4.3 [4.2-4.4],4.4 [4.3-4.5]
Poland,1.0 [1.0-1.1],1.0 [1.0-1.1],1.1 [1.0-1.1],1.1 [1.1-1.1],1.1 [1.1-1.2]
Portugal,0.8 [0.7-0.9],0.8 [0.7-0.9],1.1 [1.0-1.2],0.9 [0.8-0.9],0.9 [0.9-1.0]
Qatar,1.4 [1.0-1.7],1.5 [1.1-1.8],1.5 [1.3-1.8],1.6 [1.4-1.9],1.7 [1.5-1.9]
Republic of Korea,0.8 [0.7-0.8],0.8 [0.8-0.9],0.8 [0.8-0.9],0.9 [0.8-0.9],0.9 [0.9-0.9]
Republic of Moldova,2.7 [2.5-2.9],2.7 [2.5-2.9],2.7 [2.5-2.9],2.7 [2.6-2.9],2.7 [2.6-2.9]
North Macedonia,1.3 [1.2-1.6],1.4 [1.2-1.5],1.4 [1.2-1.5],1.4 [1.2-1.5],1.4 [1.3-1.5]
Romania,1.6 [1.5-1.8],1.8 [1.7-1.9],1.9 [1.8-2.0],2.0 [1.9-2.1],2.0 [2.0-2.1]
Russian Federation,1.9 [1.9-2.0],2.1 [2.1-2.2],2.3 [2.2-2.3],2.4 [2.3-2.4],2.5 [2.5-2.6]
Rwanda,9.5 [5.0-19.8],9.9 [5.5-19.4],10.4 [6.2-19.0],11.0 [7.0-18.4],11.8 [8.0-18.0]
Saint Kitts and Nevis,2.9 [2.3-3.8],3.0 [2.3-3.8],3.0 [2.4-3.9],3.1 [2.4-4.0],3.1 [2.4-4.0]
Saint Lucia,3.1 [2.3-4.2],3.1 [2.3-4.1],3.1 [2.4-4.1],3.1 [2.5-3.9],3.1 [2.5-3.9]
