,Country,Year,Life expectancy,Children out of primary school,Deaths(HIV/AIDS),Incidence(HIV/AIDS),Prevalence(HIV/AIDS),Disability-Adjusted Life Years,Maternal mortality,Child mortality
58,ARG,2012,75.598,24382,1658.609173812499,11146.2532363,17641.3712332,25594.47462503563,55.0,1.33
59,ARG,2013,75.756,17457,1666.4529861491026,11371.1606064,18276.3023753,25494.70868955814,54.0,1.27
60,ARG,2014,75.913,4205,1681.8512050082986,11625.6223833,18902.0685623,25105.073558110973,54.0,1.21
61,ARG,2015,76.068,2420,1729.3941843454002,11847.5708485,19525.0066734,24763.47181866261,52.0,1.16
62,ARM,2002,72.112,20971,1.04497944780054,29.1231853689,12.4058497495,30470.81821723119,45.0,2.72
63,ARM,2003,72.348,22092,1.0643183160793996,35.8195159574,16.586371583400002,29926.966189428997,43.0,2.59
64,ARM,2005,72.626,14931,4.114239520552693,50.1593558663,24.034039709,28900.89697764572,40.0,2.34
65,ARM,2006,72.716,9441,10.404271248187396,60.1325277084,28.0901144232,28425.846496003986,40.0,2.22
66,ARM,2007,72.815,3288,7.966249561216,74.1043896041,34.187763988600004,27813.14876029941,35.0,2.1100000000000003
67,ARM,2011,73.572,6728,11.565796885883003,120.624141298,66.3854658323,27229.632235621888,31.0,1.72
68,ARM,2012,73.82,5023,21.490866084132016,128.04787479,78.9375488494,26575.25416111499,30.0,1.63
69,ARM,2013,74.056,4874,17.355611583498984,135.804177775,94.5706963529,25930.52824026819,28.0,1.55
70,ARM,2014,74.273,8641,30.055647242681022,143.667549782,112.976952649,25669.60838419517,26.0,1.47
71,ARM,2015,74.467,10601,33.49402121092204,151.536922664,133.84069280100002,25647.55599258327,25.0,1.4
72,AUS,1990,76.933,30144,374.023351316172,949.0,926.177933531,24714.98394550688,8.0,0.92
73,AUS,1991,77.223,39520,430.3714473939903,892.261872375,946.286518112,24090.84575431306,8.0,0.87
74,AUS,1992,77.505,43555,478.1377383090863,844.053920768,954.769230106,23926.969614624977,8.0,0.82
75,AUS,1993,77.772,50321,565.7635257822055,805.943453815,954.8926086830002,23391.691207434335,8.0,0.77
76,AUS,1994,78.024,55241,553.5089876312993,780.356315204,948.371098921,23348.837895906487,8.0,0.73
