country,year,gov_exp_pre_primary (% of GDP),gov_exp_primary (% of GDP),gov_exp_secondary (% of GDP),gov_exp_tertiary (% of GDP),gov_exp_pre_primary (US $ millions),gov_exp_primary (US $ millions),gov_exp_secondary (US $ millions),gov_exp_tertiary (US $ millions),gov_exp_all_levels (US $ millions),all_staff_compensation_primary,capital_exp_primary,oecd,gdp,population,gov_exp_primary_per_person (US dollars)
AUT,2012,0.45484,0.84894,2.25885,1.8252,1862.23721,3475.76442,9248.31142,7472.84045,22438.1454,73.98547,2.22838,1,409425234155.263,8429991.0,412.3093868071745
AUT,2013,0.46576,0.90431,2.28574,1.79382,2003.09665,3889.16612,9830.25697,7714.66054,23856.38317,72.80603,3.44079,1,430068712971.867,8479823.0,458.6376531679965
AUT,2014,0.47772,0.88778,2.19886,1.7714,2111.49962,3923.96321,9718.89727,7829.51655,24078.26105,71.73987,4.62599,1,441996131736.508,8546356.0,459.138749895277
AUT,2015,0.48098,0.90404,2.17594,1.78068,1836.48154,3451.79528,8308.12695,6798.94461,20834.1936,70.84967,5.79354,1,381817565893.574,8642699.0,399.388579886908
AUT,2016,0.49885,0.91041,2.17336,1.78179,1971.59864,3598.19439,8589.71082,7042.1422,21675.65731,70.16609,6.95065,1,395568644341.038,8736668.0,411.84973378867096
AUT,2017,0.50504,0.90578,2.1145,1.70741,2112.66948,3789.00969,8845.30889,7142.35723,22413.54147,69.49832,8.32039,1,416230497429.163,8797566.0,430.6884074526977
AZE,2010,0.19607,1.5481542187500001,1.6556021875000002,0.39037,103.72792,684.0632680208332,747.3281015625,206.51539,1471.02367,77.6427527734375,6.074597907986111,0,52909294791.9262,9054332.0,75.5509371669642
AZE,2011,0.16943,1.5481542187500001,1.6556021875000002,0.35624,111.73977,684.0632680208332,747.3281015625,234.94302,1606.34279,77.6427527734375,6.074597907986111,0,65951627200.2026,9173082.0,74.57289360553337
AZE,2015,0.27991,1.5481542187500001,1.6556021875000002,0.37829,148.55827,684.0632680208332,747.3281015625,200.77523,1566.58764,77.6427527734375,6.074597907986111,0,53074370486.0433,9649341.0,70.8922265283021
AZE,2016,0.30457,1.5481542187500001,1.6556021875000002,0.49598,115.3317,684.0632680208332,747.3281015625,187.81463,1099.44802,77.6427527734375,6.074597907986111,0,37867518957.1975,9757812.0,70.10416556712029
AZE,2017,0.27935,1.5481542187500001,1.6556021875000002,0.40576,114.15756,684.0632680208332,747.3281015625,165.81623,1010.94115,77.6427527734375,6.074597907986111,0,40865558912.3867,9854033.0,69.41962423109737
