country,year,adj_enrollment,out_school_percentage,out_school,first_grade_percentage,overage_percentage,grade_5_percentage,last_grade,completion_rate,pupils,repeater_percentage,enrollment_gross_percentage,enrollment_net_percentage
LDC,2011,80.28223,18.4710998535156,24155554.0,126.2396,,,55.1856689453125,67.5825576782227,135519856.0,9.83759,103.628372192383,79.98977
LDC,2012,80.66871,17.988639831543,24019064.0,124.8636,,,53.6498985290527,68.4292984008789,139104288.0,9.71405,104.179588317871,80.57588
LDC,2013,81.32539,17.3009300231934,23585086.0,126.2872,,,52.9838485717773,68.9051513671875,142088224.0,9.43126,104.229339599609,81.27714
LDC,2014,81.80416,17.1818408966064,23895180.0,126.1788,,,53.5986709594727,69.6653137207031,145247552.0,8.86622,104.440322875977,81.56356
LDC,2015,81.41431,17.823600769043,25271192.0,124.9074,,,54.225700378418,69.9593734741211,146628016.0,8.5303,103.415748596191,81.13239
LDC,2016,81.43591,17.6575202941895,25510370.0,123.3741,,,53.8734397888184,70.7107315063477,150187216.0,8.4255,103.955146789551,81.11583
LDC,2017,81.33676,17.6222496032715,25938406.0,122.3399,,,55.5690994262695,71.6499481201172,154124320.0,8.30283,104.710273742676,80.98355
LDC,2018,81.11042,17.4530792236328,26170210.0,121.847,,,54.5229301452637,72.760009765625,158834480.0,8.16665,105.927726745605,80.77344
LDC,2019,,17.0869407653809,26085382.0,,,,54.3183517456055,72.5599975585938,162809600.0,,106.646636962891,
LDC,2020,,16.9874992370605,,,,,,72.9792633056641,,,,
LIC,2000,,45.772159576416,28822204.0,99.02558,,,58.209098815918,43.3218383789063,45108632.0,14.56244,71.6364212036133,55.62006
LIC,2001,,43.5250282287598,28152032.0,103.3574,,,57.8019714355469,45.5717506408691,48294536.0,14.45231,74.6667709350586,57.94914
LIC,2002,,41.0608787536621,27322876.0,110.0975,,,58.1809387207031,47.6116409301758,53046460.0,14.14797,79.7183303833008,61.86638
LIC,2003,64.66274,38.688159942627,26189352.0,111.5603,,,56.1448287963867,50.1036605834961,56450344.0,14.03579,83.3911437988281,
LIC,2004,67.2812,36.0116386413574,25126100.0,113.5834,,,57.9527015686035,51.7887115478516,60064300.0,13.70287,86.0863265991211,
LIC,2005,69.93146,33.2236213684082,23874962.0,118.2031,,,57.653018951416,54.7408905029297,63860512.0,12.02819,88.8662033081055,
LIC,2006,72.77946,30.7754306793213,22768968.0,118.3795,,,58.6302490234375,56.1514015197754,67720224.0,11.532,91.5333099365234,
LIC,2007,74.64939,28.8568897247314,21997324.0,121.3487,,,57.4307403564453,57.3348808288574,71509512.0,11.44637,93.8087692260742,
LIC,2008,77.45954,25.3439292907715,19902280.0,127.9153,,,55.7960510253906,59.7314796447754,76873112.0,10.89161,97.8916168212891,
